	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
1	0 -13.37 -16.3 3.08 160 -12.2 -15.31 -23.18 -1.943 175.2 -110 104.4 203.4 -17.45 -54.18 221.7 -90.41 59.81 97.33 96.75 142.76 -15.94 -149.02 68.67 -236.1 -249.14 -123.68 -120.46 -95.72
2	0 -1.526e-05 -3.205 -20.97 50 -133.3 28.14 -59.19 74.39 -128.9 26.43 74.98 -40.12 69.87 82.77 -16.51 -1.949 70.32 -70.24 264.65 -287.67 -140.34 294.98 272.7 210.61 168.57 -20.01 66.77 -105.4
3	0 -30.23 -24.73 4.841 230 -10.42 -69.05 -30.38 -17.54 138 -70.74 -7.041 82.59 -92.8 123.4 144.4 -103.1 -184.8 78.61 -163.73 -9.06 85.71 1.04 -244.51 -210.41 -154.88 -246.81 335.41 -219.28
4	0 -4.834 -8.827 -6.68 130 -26.32 -36.94 -16.93 34.59 60.41 -41.59 71.13 32.19 -133.5 102 91.05 NA 48.78 31.9 5.17 135.53 96.99 -318.01 -151.62 310.59 -309.59 -228.71 68.53 -136.41
5	0 9.669 4.834 -64.51 140 0 -14.78 -23.53 7.679 57.16 -131.8 114.2 203.2 46.01 -38.83 45.29 -83.38 143.7 43.24 -307.94 -127.15 363.92 -244.16 81.96 274.7 -109.85 106.4 604.08 231.32
6	0 8.978 4.489 -42.91 180 23.26 3.167 -23.53 -21.59 96.19 -118 40.62 250.7 -39.98 -8.36 -22.19 -95.23 13.47 59.3 -164.79 -24.56 111.59 199.68 211.49 246.23 -312.52 -104.77 -107.25 -225.62
7	0 20.72 26.38 -17.13 40 -51.72 -64.39 -63.14 34.15 -20.91 -40.75 105.2 -15.32 166.7 95.66 -41.58 -39.32 NA -88.1 -168.95 -81.7 191.14 124.99 192.67 294.93 -216.74 20.58 569.79 132.79
8	0 -0.6906 -3.55 36.74 130 26.32 -16.89 -23.53 -61.29 100.3 -86.08 172.6 97.83 -21.87 59.94 5.733 -47.37 154.7 60.24 23.19 -325.65 -186.82 -299.31 -194.14 -10.24 32.07 -171.7 17.94 53.72
9	0 33.84 36.15 36.86 50 -116.7 6.333 -43.34 173.3 -183.6 -50.4 89.08 -106 100.3 224.9 -122.2 -52.11 25.65 -85.26 -8.63 -251.1 289.95 -180.15 213.02 285.83 -154.14 -160.85 331.06 -211.25
10	0 26.43 16.59 4.847 50 -66.67 -20.72 -54.98 26.65 -23.23 -6.643 78.65 15.89 74.44 114.7 -7.449 -40.18 109.5 -26.6 -310.49 -170.91 -78.6 -155.25 265.11 -27.59 -53.77 266.56 214.1 -48.55
11	0 32.86 23.19 -48.47 50 -83.33 -22.99 -47.79 98.74 -82.87 -47.95 167 -38.67 89.8 130.9 -101.6 -76.09 151.6 23.63 -130.87 223.26 268.84 -57.03 263.89 -56.54 262.4 36.3 572.95 147.47
12	0 -0.7143 -0.3571 -9.859 170 -11.9 -3.7 -33.42 24.15 66.23 -75.33 25.02 232.3 -81.96 -89.27 30.01 -24.64 20.28 53.96 -328.83 -117.61 -40.88 113.08 283.74 103.22 -1.25 2.76 190.22 -217.91
13	0 0 0 -44.59 170 0 -2.566 -26.24 -36.76 63.15 -116.1 11.12 276.9 -35.88 -93.03 -65.01 -143.6 -42.86 109.9 123.12 -82.2 -185.25 -340.62 -360.47 71.24 82.3 11.14 -127.92 -20.1
14	0 0 0 -5.612 90 0 -17.32 -19.05 -77.05 73.43 -59.4 123.3 63.18 -21.92 166 -19.33 -76.63 139.5 -10.49 -6.02 -49.95 -246.03 -198.78 -325.89 158.42 -233.24 -261.14 205.78 -106.93
15	0 -6.429 3.542 -33.2 120 0 -29.8 -26.24 15.47 95.03 -170.9 195.8 95 53.49 187.3 -65.01 -153.8 156.6 -47.45 -250.33 -79.67 -183.72 312.76 218.93 -179.84 -30.77 -238.48 -153.28 55.22
16	0 12.23 13.26 4.601 30 -35.71 -79.07 -50.47 24.55 -72.76 -95.42 84.97 -79.81 21.18 140.2 -88.16 -47.5 80.15 -122.9 -314.67 -89.14 139.46 -148.7 -231.09 -116.06 53.51 383.8 604.89 68.76
17	0 -3.823 -5.483 72.93 200 -22.22 16.71 -30.68 38.72 77.91 -29.84 -39 231.2 NA -54.34 85.59 -18.93 -82.39 168.7 -272.06 -106.32 325.91 -69.9 281.41 150.19 -313.43 350.99 439.86 216.13
18	0 1.529 7.907 -44.1 120 -27.03 61 -10.9 100.8 1.342 -199.7 223.9 164.6 65.53 87.9 7.467 -197.9 198.8 58.76 -257.25 31.88 -52.32 99.93 -228.47 NA 301.74 169.42 217.11 -199.78
19	0 -1.529 2.807 -29.39 160 12.2 41.85 -10.9 -35.42 106.7 -136.2 70 287.2 -25.94 -33.67 77.51 -115.2 82.73 138.5 -152.87 -122.95 -25.13 -318.8 -67.33 -43.41 -29.41 338.21 -53.21 40.34
20	0 11.8 5.901 -28.34 110 13.89 -49.26 -13.95 -17.16 -29.71 -169.2 -1.461 114.3 -162.9 62.15 -97.66 -153.6 67.94 63.95 303.92 221.78 -59.56 90.97 169.31 213.71 -288.53 166.03 -130.99 -109.95
21	0 -2.682 1.864 48.18 240 40.82 41.58 -42.16 -180.9 11.34 45.62 -226.7 79.06 -118.8 14.05 28.51 66.96 -192.6 39.53 -188.66 -31.03 341.17 -122.51 272.03 -236.3 4.22 67.18 392.06 102.48
22	0 1.609 10.42 -2.49 170 11.9 43.63 -13.95 -18.36 77.03 -180.8 34.43 289 44.93 -28.86 74.27 -160.2 28.06 197.4 -284.2 289.54 -45.66 -303.31 -26.21 41.38 -133.38 163.4 395.36 68.74
23	0 -3.219 -1.609 15.26 170 -11.9 28.31 -21 10.79 93.46 -61.79 17.63 233.9 -64.21 -60.06 122.1 -74.99 13.22 153.8 -184.71 31.86 -20.4 215.62 109.04 256.87 -129.71 180.95 502.51 94.47
